;НАЗВАНИЕ;РУБРИКА;ПОДРУБРИКА;РЕГИОН;ГОРОД;АДРЕС;ТЕЛЕФОНЫ;ФАКСЫ;СОТОВЫЕ ТЕЛЕФОНЫ;EMAIL;САЙТ;X;Y;ОПИСАНИЕ;ИНДЕКС;ПН;ПЕРЕРЫВ;ВТ;ПЕРЕРЫВ;СР;ПЕРЕРЫВ;ЧТ;ПЕРЕРЫВ;ПТ;ПЕРЕРЫВ;СБ;ПЕРЕРЫВ;ВС;ПЕРЕРЫВ;ОПЛАТА;ВАЛЮТА;СРЕДНИЙ ЧЕК;КУХНЯ;ДОПОЛНИТЕЛЬНО
9,85691E+14;Батень, ООО, торгово-производственная фирма;Продукты питания / Напитки;Рыба / Морепродукты;Красноярский край;Красноярск;Телевизорная, 6;8(391)2560750;8(391)2560761;;;;92.797317011356;56.027278253771;;660062;08:30-17:30;;08:30-17:30;;08:30-17:30;;08:30-17:30;;08:30-17:30;;Выходной;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;
9,85691E+14;Прибой, ООО, торговая компания;Продукты питания / Напитки;Мясо / Полуфабрикаты;Красноярский край;Красноярск;Коммунальная, 2а;8(391)2050884, 8(391)2050883;8(391)2689555;;;;92.946281809765;56.0093735405;;660059;08:00-18:00;;08:00-18:00;;08:00-18:00;;08:00-18:00;;08:00-18:00;;08:00-14:00;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;
9,85691E+14;Прибой, ООО, торговая компания;Продукты питания / Напитки;Мясо птицы / Полуфабрикаты;Красноярский край;Красноярск;Коммунальная, 2а;8(391)2050884, 8(391)2050883;8(391)2689555;;;;92.946281809765;56.0093735405;;660059;08:00-18:00;;08:00-18:00;;08:00-18:00;;08:00-18:00;;08:00-18:00;;08:00-14:00;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;
9,85691E+14;Прибой, ООО, торговая компания;Продукты питания / Напитки;Рыба / Морепродукты;Красноярский край;Красноярск;Коммунальная, 2а;8(391)2050884, 8(391)2050883;8(391)2689555;;;;92.946281809765;56.0093735405;;660059;08:00-18:00;;08:00-18:00;;08:00-18:00;;08:00-18:00;;08:00-18:00;;08:00-14:00;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;
9,85691E+14;Добрыня, оптовая компания;Продукты питания / Напитки;Мясо / Полуфабрикаты;Красноярский край;Красноярск;26 Бакинских Комиссаров, 1а\1;8(391)2588233, 8(391)2593890;8(391)2593801;;;;93.040614697679;56.035346137231;;660004;09:00-18:00;12:00-13:00;09:00-18:00;12:00-13:00;09:00-18:00;12:00-13:00;09:00-18:00;12:00-13:00;09:00-18:00;12:00-13:00;Выходной;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;
9,85691E+14;Добрыня, оптовая компания;Продукты питания / Напитки;Овощи / Фрукты / Ягоды / Грибы;Красноярский край;Красноярск;26 Бакинских Комиссаров, 1а\1;8(391)2588233, 8(391)2593890;8(391)2593801;;;;93.040614697679;56.035346137231;;660004;09:00-18:00;12:00-13:00;09:00-18:00;12:00-13:00;09:00-18:00;12:00-13:00;09:00-18:00;12:00-13:00;09:00-18:00;12:00-13:00;Выходной;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;
9,85691E+14;Красноярский привоз, ООО, торговая компания;Продукты питания / Напитки;Овощи / Фрукты / Ягоды / Грибы;Красноярский край;Красноярск;Глинки, 37;;8(391)2649555;;;;93.043145481474;56.020424204346;;660031;08:00-17:00;12:00-13:00;08:00-17:00;12:00-13:00;08:00-17:00;12:00-13:00;08:00-17:00;12:00-13:00;08:00-17:00;12:00-13:00;Выходной;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;
9,85691E+14;Крупторг, торговая компания, ИП Привалихина Н.П.;Продукты питания / Напитки;Чай / Кофе;Красноярский край;Красноярск;Коммунальная, 2\4;8(391)2587880, 8(391)2784144;;;;;92.935817337352;56.006937359953;;660059;08:30-17:00;;08:30-17:00;;08:30-17:00;;08:30-17:00;;08:30-17:00;;09:00-14:00;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;
9,85691E+14;Пирс, торговая компания;Продукты питания / Напитки;Чай / Кофе;Красноярский край;Красноярск;Коммунальная, 2а;;8(391)2012170, 8(391)2012160;;;;92.946281809765;56.0093735405;;660059;08:00-17:00;;08:00-17:00;;08:00-17:00;;08:00-17:00;;08:00-17:00;;08:00-14:00;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;
9,85691E+14;Торговая компания, ИП Минасян Т.П.;Продукты питания / Напитки;Яйцо;Красноярский край;Красноярск;Шахтёров, 33а;8(391)2405555;;;;;92.888969215411;56.035957393773;;660020;08:30-19:00;;08:30-19:00;;08:30-19:00;;08:30-19:00;;08:30-19:00;;08:30-17:00;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;
9,85691E+14;Торговая компания, ИП Чугурова Н.М.;Продукты питания / Напитки;Мясо птицы / Полуфабрикаты;Красноярский край;Красноярск;Северное шоссе, 5г;8(391)2400916;8(391)2250875;;;;92.941915205505;56.078501061318;;660118;08:30-17:30;;08:30-17:30;;08:30-17:30;;08:30-17:30;;08:30-17:30;;09:00-13:00;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;
9,85691E+14;Торговая компания, ИП Чугурова Н.М.;Продукты питания / Напитки;Яйцо;Красноярский край;Красноярск;Северное шоссе, 5г;8(391)2400916;8(391)2250875;;;;92.941915205505;56.078501061318;;660118;08:30-17:30;;08:30-17:30;;08:30-17:30;;08:30-17:30;;08:30-17:30;;09:00-13:00;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;
9,85691E+14;Красный Яр, сеть гастрономов;Торговые комплексы / Спецмагазины;Супермаркеты;Красноярский край;Красноярск;Металлургов проспект, 34;;8(391)2771390(доп.814);;info@krasyar.ru;http://krasyar.ru;92.946550115281;56.047064943905;;660005;00:00-24:00;;00:00-24:00;;00:00-24:00;;00:00-24:00;;00:00-24:00;;00:00-24:00;;00:00-24:00;;Наличный расчет, Visa, Mastercard;RUB;;;
9,85691E+14;Дары Сибири, ООО, группа компаний;Продукты питания / Напитки;Овощи / Фрукты / Ягоды / Грибы;Красноярский край;Красноярск;Маерчака, 49г;8(391)2520409;8(391)2902512;;medovaya@entc.ru;http://darisib24.ru;92.825157197833;56.029045071929;;660048;09:00-17:00;;09:00-17:00;;09:00-17:00;;09:00-17:00;;09:00-17:00;;09:00-14:00;;Выходной;;Наличный расчет, Оплата через интернет, Без начиный расчет, Visa, Mastercard, Золотая корона, American Express;RUB;;;
9,85691E+14;Нептун, рыбный цех;Продукты питания / Напитки;Рыба / Морепродукты;Красноярский край;Красноярск;Солнечная, 12;8(391)2644402;8(391)2626062;;;;93.0202483862;56.033039863261;;660004;09:00-17:00;;09:00-17:00;;09:00-17:00;;09:00-17:00;;09:00-17:00;;Выходной;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;
9,85691E+14;Кулинарный ОЛИМП, производственная фирма, ИП Киндрачук Т.Н.;Продукты питания / Напитки;Мясо / Полуфабрикаты;Красноярский край;Красноярск;Вильского, 4а;8(391)2479013;;;;;92.767355949392;56.025395808626;;660062;08:00-20:00;;08:00-20:00;;08:00-20:00;;08:00-20:00;;08:00-20:00;;08:00-20:00;;08:00-20:00;;Наличный расчет, Без начиный расчет;RUB;;;
9,85691E+14;Красноярская Продовольственная Компания, ООО;Продукты питания / Напитки;Мясо / Полуфабрикаты;Красноярский край;Красноярск;Полигонная, 4;8(391)2266690;;;reception@krsk.rmp;http://rmpr.ru;92.953287985164;56.076483761431;;660118;09:00-18:00;13:00-13:45;09:00-18:00;13:00-13:45;09:00-18:00;13:00-13:45;09:00-18:00;13:00-13:45;09:00-17:00;13:00-13:45;Выходной;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;
9,85691E+14;СКИФ, ООО, торговый дом;Продукты питания / Напитки;Мясо / Полуфабрикаты;Красноярский край;Красноярск;Калинина, 43;8(391)2585058;8(391)2218607;;;;92.809194971776;56.031185704623;;660048;09:00-17:00;;09:00-17:00;;09:00-17:00;;09:00-17:00;;09:00-17:00;;09:00-14:00;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;
9,85691E+14;Виктория О, торговая компания;Продукты питания / Напитки;Яйцо;Красноярский край;Красноярск;Глинки, 37;8(391)2329960, 8(391)2324777;;;;;93.043145481474;56.020424204346;;660031;09:00-17:00;;09:00-17:00;;09:00-17:00;;09:00-17:00;;09:00-17:00;;09:00-15:00;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;
9,85691E+14;Ханаева Э.Р., ИП;Продукты питания / Напитки;Яйцо;Красноярский край;Красноярск;Северное шоссе, 9г;8(391)2662707;;;;;92.941295020047;56.080679723974;;660118;08:00-17:00;;08:00-17:00;;08:00-17:00;;08:00-17:00;;08:00-17:00;;08:00-17:00;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;
9,85691E+14;Юнилевер Русь, ООО, представительство в г. Красноярске;Продукты питания / Напитки;Чай / Кофе;Красноярский край;Красноярск;Газеты Красноярский Рабочий проспект, 30а ст26;8(391)2644244;;;;http://unilever.ru;92.998850067302;56.020943357485;;660004;09:00-18:00;;09:00-18:00;;09:00-18:00;;09:00-18:00;;09:00-18:00;;Выходной;;Выходной;;Наличный расчет, Оплата через интернет, Без начиный расчет, Visa, Mastercard, American Express;RUB;;;
9,85691E+14;Инмарко, торговая компания;Продукты питания / Напитки;Мясо / Полуфабрикаты;Красноярский край;Красноярск;Складская, 28;;8(391)2900900;;;http://inmarko.ru;92.833994709862;55.985323235428;;660012;09:00-18:00;12:00-13:00;09:00-18:00;12:00-13:00;09:00-18:00;12:00-13:00;09:00-18:00;12:00-13:00;09:00-18:00;12:00-13:00;Выходной;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;
9,85691E+14;Каравай, сеть супермаркетов;Торговые комплексы / Спецмагазины;Супермаркеты;Красноярский край;Красноярск;Словцова, 5;;8(391)2127456;;house@karavay.krasnoyarsk.ru;http://karavay24.ru;92.752267228047;56.025277503579;;660130;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;Наличный расчет, Visa, Mastercard;RUB;;;
9,85691E+14;Торговая компания, ИП Попова Т.А.;Продукты питания / Напитки;Рыба / Морепродукты;Красноярский край;Красноярск;Коммунальная, 2 ст20;89029964599;;89029964599;;;92.934225354433;56.008501401353;;660059;09:00-17:00;12:00-13:00;09:00-17:00;12:00-13:00;09:00-17:00;12:00-13:00;09:00-17:00;12:00-13:00;09:00-17:00;12:00-13:00;Выходной;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;
9,85691E+14;Континент, супермаркет;Торговые комплексы / Спецмагазины;Супермаркеты;Красноярский край;Красноярск;Тотмина, 35а;8(391)2479889, 8(391)2465667;;;;;92.769092547493;56.038684942565;;660115;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;Наличный расчет, Visa, Mastercard;RUB;;;
9,85691E+14;Каравай, сеть супермаркетов;Торговые комплексы / Спецмагазины;Супермаркеты;Красноярский край;Красноярск;Свердловская, 35;8(391)2619915;8(391)2619563;;house@karavay.krasnoyarsk.ru;http://karavay24.ru;92.853924398306;55.979815438456;;660078;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;Наличный расчет, Visa, Mastercard;RUB;;;
9,85691E+14;Каравай, сеть супермаркетов;Торговые комплексы / Спецмагазины;Супермаркеты;Красноярский край;Красноярск;Аральская, 14;8(391)2685594;;;house@karavay.krasnoyarsk.ru;http://karavay24.ru;93.005900930794;55.991913271311;;660046;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;Наличный расчет, Visa, Mastercard;RUB;;;
9,85691E+14;Spar, сеть cупермаркетов;Торговые комплексы / Спецмагазины;Супермаркеты;Красноярский край;Красноярск;9 Мая, 12;8(391)2661741;;;;http://spar24.ru;92.925768850447;56.065988792466;;660125;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;Наличный расчет, Visa, Mastercard;RUB;;;
9,85691E+14;Каравай, сеть супермаркетов;Торговые комплексы / Спецмагазины;Супермаркеты;Красноярский край;Красноярск;Воронова, 16;8(391)2455590;8(391)2455580;;house@karavay.krasnoyarsk.ru;http://karavay24.ru;92.953909750975;56.058861514385;;660131;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;Наличный расчет, Visa, Mastercard;RUB;;;
9,85691E+14;Каравай, сеть супермаркетов;Торговые комплексы / Спецмагазины;Супермаркеты;Красноярский край;Красноярск;Взлётная, 24;8(391)2755692;;;house@karavay.krasnoyarsk.ru;http://karavay24.ru;92.905587441376;56.034318388538;;660135;07:00-23:00;;07:00-23:00;;07:00-23:00;;07:00-23:00;;07:00-23:00;;07:00-23:00;;07:00-23:00;;Наличный расчет, Visa, Mastercard;RUB;;;
9,85691E+14;Каравай, сеть супермаркетов;Торговые комплексы / Спецмагазины;Супермаркеты;Красноярский край;Красноярск;Анатолия Гладкова, 13;8(391)2361208;;;house@karavay.krasnoyarsk.ru;http://karavay24.ru;92.879857089184;55.988156596333;;660016;07:00-23:00;;07:00-23:00;;07:00-23:00;;07:00-23:00;;07:00-23:00;;07:00-23:00;;07:00-23:00;;Наличный расчет, Visa, Mastercard;RUB;;;
9,85691E+14;Каравай, сеть супермаркетов;Торговые комплексы / Спецмагазины;Супермаркеты;Красноярский край;Красноярск;Академика Киренского, 25а;;8(391)2431960;;house@karavay.krasnoyarsk.ru;http://karavay24.ru;92.80072655019;56.004908236955;;660100;00:00-24:00;;00:00-24:00;;00:00-24:00;;00:00-24:00;;00:00-24:00;;00:00-24:00;;00:00-24:00;;Наличный расчет, Visa, Mastercard;RUB;;;
9,85691E+14;Каравай, сеть супермаркетов;Торговые комплексы / Спецмагазины;Супермаркеты;Красноярский край;Красноярск;Щорса, 50;8(391)2372262;8(391)2601676;;house@karavay.krasnoyarsk.ru;http://karavay24.ru;92.950619967781;55.991002530563;;660094;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;Наличный расчет, Visa, Mastercard;RUB;;;
9,85691E+14;Аквакультура, торговая фирма, ИП Егорченко И.В.;Продукты питания / Напитки;Рыба / Морепродукты;Красноярский край;Красноярск;Коммунальная, 2а;8(391)2922286, 8(391)2586635, 8(391)2783678;;;egorchenkoi1@rambler.ru;http://egorakva.ru;92.946281809765;56.0093735405;;660059;09:00-19:00;;09:00-19:00;;09:00-19:00;;09:00-19:00;;09:00-19:00;;10:00-16:00;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;
9,85691E+14;Универсал Крайпотребсоюза, ООО, производственно-торговая компания;Продукты питания / Напитки;Мясо / Полуфабрикаты;Красноярский край;Красноярск;Березина, 7;8(391)2019105, 8(391)2190142;;;;;92.893893703191;56.030668399695;;660020;08:00-17:00;12:00-13:00;08:00-17:00;12:00-13:00;08:00-17:00;12:00-13:00;08:00-17:00;12:00-13:00;08:00-17:00;12:00-13:00;Выходной;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;
9,85691E+14;Универсал Крайпотребсоюза, ООО, производственно-торговая компания;Продукты питания / Напитки;Овощи / Фрукты / Ягоды / Грибы;Красноярский край;Красноярск;Березина, 7;8(391)2019105, 8(391)2190142;;;;;92.893893703191;56.030668399695;;660020;08:00-17:00;12:00-13:00;08:00-17:00;12:00-13:00;08:00-17:00;12:00-13:00;08:00-17:00;12:00-13:00;08:00-17:00;12:00-13:00;Выходной;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;
9,85691E+14;Каравай, ООО, торговая компания;Продукты питания / Напитки;Овощи / Фрукты / Ягоды / Грибы;Красноярский край;Красноярск;Калинина, 167;8(391)2682838;8(391)2682840;;;;92.750225366674;56.052475855945;;660061;09:00-18:00;12:00-13:00;09:00-18:00;12:00-13:00;09:00-18:00;12:00-13:00;09:00-18:00;12:00-13:00;09:00-18:00;12:00-13:00;Выходной;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;Доставка блюд, Торты на заказ, Фототорты
9,85691E+14;Каравай, ООО, торговая компания;Продукты питания / Напитки;Рыба / Морепродукты;Красноярский край;Красноярск;Калинина, 167;8(391)2682838;8(391)2682840;;;;92.750225366674;56.052475855945;;660061;09:00-18:00;12:00-13:00;09:00-18:00;12:00-13:00;09:00-18:00;12:00-13:00;09:00-18:00;12:00-13:00;09:00-18:00;12:00-13:00;Выходной;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;Доставка блюд, Торты на заказ, Фототорты
9,85691E+14;Фролов В.Н., ИП;Продукты питания / Напитки;Яйцо;Красноярский край;Красноярск;Спандаряна, 8 ст2;8(391)2543714;;;;;92.895013929548;56.03075301688;;660020;08:00-17:00;;08:00-17:00;;08:00-17:00;;08:00-17:00;;08:00-17:00;;08:00-17:00;;Выходной;;Наличный расчет;RUB;;;
9,85691E+14;Форт Нокс, ООО, оптовая компания;Продукты питания / Напитки;Мясо / Полуфабрикаты;Красноярский край;Красноярск;Кишинёвская, 17;;8(391)2631100;;info@fnoks.ru;http://fnoks.ru;93.015106045244;56.002919423077;;660013;09:00-18:00;;09:00-18:00;;09:00-18:00;;09:00-18:00;;09:00-18:00;;Выходной;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;Доставка блюд, Торты на заказ
9,85691E+14;Оптовая компания, ИП Рогова Л.И.;Продукты питания / Напитки;Яйцо;Красноярский край;Красноярск;Спандаряна, 3;8(391)2501641;;;;;92.896008124557;56.028416194356;;660020;08:00-17:00;;08:00-17:00;;08:00-17:00;;08:00-17:00;;08:00-17:00;;08:00-14:00;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;
9,85691E+14;Продукт-Сервис, ООО, производственно-коммерческая фирма;Продукты питания / Напитки;Рыба / Морепродукты;Красноярский край;Красноярск;Академика Павлова, 1;8(391)2587269;;;;;92.971884846008;56.000456727385;;660003;08:00-17:00;12:00-13:00;08:00-17:00;12:00-13:00;08:00-17:00;12:00-13:00;08:00-17:00;12:00-13:00;08:00-17:00;12:00-13:00;08:00-17:00;12:00-13:00;08:00-17:00;12:00-13:00;Наличный расчет, Без начиный расчет;RUB;;;
9,85691E+14;КрасСиб, ООО, торгово-производственная фирма;Продукты питания / Напитки;Яйцо;Красноярский край;Красноярск;Мусоргского, 18\1;8(391)2081667, 8(391)2356060;;;;;92.906364304508;55.979656268417;;660079;08:00-17:00;;08:00-17:00;;08:00-17:00;;08:00-17:00;;08:00-17:00;;Выходной;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;
9,85691E+14;КОРОНА, супермаркет;Торговые комплексы / Спецмагазины;Супермаркеты;Красноярский край;Красноярск;Партизана Железняка, 24Б;;8(391)2125225;;;;92.915804100201;56.03025892013;;660022;08:00-00:00;;08:00-00:00;;08:00-00:00;;08:00-00:00;;08:00-00:00;;08:00-00:00;;08:00-00:00;;Наличный расчет, Visa, Mastercard, American Express;RUB;;;
9,85691E+14;Командор, сеть супермаркетов;Торговые комплексы / Спецмагазины;Супермаркеты;Красноярский край;Красноярск;Взлётная, 2;8(391)2524563;;;info@sm-komandor.ru;http://sm-komandor.ru;92.91826117748;56.034376920823;Торговая сеть Командор (входит в группу компаний Командор) &ndash, один из самых крупнейших операторов на рынке розничной торговли Красноярского края и Хакасии. Образована в 1999 году. Развивает 3 формата розничной торговли: гипермаркет, супермаркет, магазин у дома. В составе сети 9 гипермаркетов Аллея, 80 супермаркетов и магазинов шаговой доступности Командор в 11 городах Красноярского края и республики Хакасия, предлагающих широкий выбор свежих продуктов питания и качественных сопутствующих товаров в комфортной обстановке и по хорошим ценам.,micro_comment:Территория присутствия  Красноярский край и Хакасия,sponsored_article:{title:Торговая сеть Командор,text:Территория присутствия  Красноярский край и Хакасия},filial_group:985699289401478,lo;660135;08:00-00:00;;08:00-00:00;;08:00-00:00;;08:00-00:00;;08:00-00:00;;08:00-00:00;;08:00-00:00;;Наличный расчет, Visa, Mastercard;RUB;;;
9,85691E+14;Командор, сеть супермаркетов;Торговые комплексы / Спецмагазины;Супермаркеты;Красноярский край;Красноярск;Красной Армии, 10 ст3;8(391)2524564;;;info@sm-komandor.ru;http://sm-komandor.ru;92.854559464912;56.014385531845;Торговая сеть Командор (входит в группу компаний Командор) &ndash, один из самых крупнейших операторов на рынке розничной торговли Красноярского края и Хакасии. Образована в 1999 году. Развивает 3 формата розничной торговли: гипермаркет, супермаркет, магазин у дома. В составе сети 9 гипермаркетов Аллея, 80 супермаркетов и магазинов шаговой доступности Командор в 11 городах Красноярского края и республики Хакасия, предлагающих широкий выбор свежих продуктов питания и качественных сопутствующих товаров в комфортной обстановке и по хорошим ценам.,micro_comment:Территория присутствия  Красноярский край и Хакасия,sponsored_article:{title:Торговая сеть Командор,text:Территория присутствия  Красноярский край и Хакасия},filial_group:985699289401478,lo;660017;08:00-00:00;;08:00-00:00;;08:00-00:00;;08:00-00:00;;08:00-00:00;;08:00-00:00;;08:00-00:00;;Наличный расчет, Visa, Mastercard;RUB;;;
9,85691E+14;Командор, сеть супермаркетов;Торговые комплексы / Спецмагазины;Супермаркеты;Красноярский край;Красноярск;Судостроительная, 58;8(391)2524565;;;info@sm-komandor.ru;http://sm-komandor.ru;92.841784411583;55.981966736277;Торговая сеть Командор (входит в группу компаний Командор) &ndash, один из самых крупнейших операторов на рынке розничной торговли Красноярского края и Хакасии. Образована в 1999 году. Развивает 3 формата розничной торговли: гипермаркет, супермаркет, магазин у дома. В составе сети 9 гипермаркетов Аллея, 80 супермаркетов и магазинов шаговой доступности Командор в 11 городах Красноярского края и республики Хакасия, предлагающих широкий выбор свежих продуктов питания и качественных сопутствующих товаров в комфортной обстановке и по хорошим ценам.,micro_comment:Территория присутствия  Красноярский край и Хакасия,sponsored_article:{title:Торговая сеть Командор,text:Территория присутствия  Красноярский край и Хакасия},filial_group:985699289401478,lo;660012;07:00-00:00;;07:00-00:00;;07:00-00:00;;07:00-00:00;;07:00-00:00;;07:00-00:00;;07:00-00:00;;Наличный расчет, Visa, Mastercard;RUB;;;
9,85691E+14;Красноярский хлеб, ООО, торговая сеть;Продукты питания / Напитки;Хлебобулочные изделия;Красноярский край;Красноярск;Калинина, 51;8(391)2911297;;;;;92.796850311848;56.033943781084;;660061;08:00-21:00;;08:00-21:00;;08:00-21:00;;08:00-21:00;;08:00-21:00;;08:00-21:00;;08:00-21:00;;Наличный расчет;RUB;;;Торты на заказ
9,85691E+14;Красноярский хлеб, ООО, торговая сеть;Продукты питания / Напитки;Хлебобулочные изделия;Красноярский край;Красноярск;Мира проспект, 85;8(391)2110864;;;;;92.859519051733;56.011210854391;;660017;08:00-21:00;;08:00-21:00;;08:00-21:00;;08:00-21:00;;08:00-21:00;;08:00-21:00;;08:00-21:00;;Наличный расчет, Visa, Mastercard;RUB;;;Торты на заказ
9,85691E+14;Биг Си, гастроном;Торговые комплексы / Спецмагазины;Супермаркеты;Красноярский край;Красноярск;Республики, 45;;8(391)2210512;;;;92.846142120913;56.015861043144;;660099;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;Наличный расчет, Visa, Mastercard;RUB;;;
9,85691E+14;Биг Си, гастроном;Торговые комплексы / Спецмагазины;Супермаркеты;Красноярский край;Красноярск;Ферганская, 9;;8(391)2657178;;;;92.974585700573;56.05164359125;;660111;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;Наличный расчет, Visa, Mastercard;RUB;;;
9,85691E+14;МирЭс, кофейная компания, Офис, магазин;Продукты питания / Напитки;Чай / Кофе;Красноярский край;Красноярск;Ленина, 221а;8(391)2050567;;;mires@kraskofe.ru;http://краскофе.рф;92.816102147622;56.010246703215;Да  мы бесплатно доставим кофе, чай, горячий шоколад вам в офис или сразу домой. Да  мы установим кофемашину в бесплатную аренду, заключив договор на поставку кофе. Да  мы проконсультируем вас по покупке кофемашины. Да  мы наладим и обслужим вашу кофемашину. Да  мы решим все вопросы, связанные с приготовлением кофе и работой кофемашины. Да!,adslink:{link:http:link.2gis.ru1.1975E0576webapi20140801project7985690699506550maps.2gis.ru3hdc54GC886172845376e14A1fpA7253H3H4HHC86uvrmA53687G3G4A97823de8g6B0996A24J63838?http:www.kraskofe.rucoffee-machine,text:Каталог кофемашин},micro_comment:Кофемашины на продажу и в аренду на срок от одного дня!,fas_warning:ООО МирЭс, 660001, г. Красноярск, ул. Ленина, д. 221а, оф.113, ОГРН 1092468000954.,sponsored_article:{title:Кофемашины  бесплатно!,text:При заказе 100 чашек кофе в месяц кофемашина устанавливается бесплатно},filial_group:985699289432608,lo;660001;09:00-18:00;;09:00-18:00;;09:00-18:00;;09:00-18:00;;09:00-18:00;;Выходной;;Выходной;;Наличный расчет, Без начиный расчет, Visa, Mastercard;RUB;;;
9,85691E+14;Лагуна-М, ООО, производственная фирма;Продукты питания / Напитки;Хлебобулочные изделия;Красноярский край;Красноярск;Тамбовская, 31\2;8(391)2658517;;;;;93.036483862989;56.006275725251;;660124;08:30-17:00;;08:30-17:00;;08:30-17:00;;08:30-17:00;;08:30-17:00;;09:00-15:00;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;Доставка блюд, Торты на заказ, Фототорты
9,85691E+14;Красный Яр, сеть гастрономов;Торговые комплексы / Спецмагазины;Супермаркеты;Красноярский край;Красноярск;Мира проспект, 52;;8(391)2771390(доп.801);;info@krasyar.ru;http://krasyar.ru;92.878569866267;56.012655102047;;660049;00:00-24:00;;00:00-24:00;;00:00-24:00;;00:00-24:00;;00:00-24:00;;00:00-24:00;;00:00-24:00;;Наличный расчет, Visa, Mastercard;RUB;;;
9,85691E+14;Красный Яр, сеть гастрономов;Торговые комплексы / Спецмагазины;Супермаркеты;Красноярский край;Красноярск;Горького, 10;;8(391)2771390(доп.807);;info@krasyar.ru;http://krasyar.ru;92.848625722263;56.011726191821;;660017;07:00-00:00;;07:00-00:00;;07:00-00:00;;07:00-00:00;;07:00-01:00;;07:00-01:00;;07:00-00:00;;Наличный расчет, Visa, Mastercard;RUB;;;
9,85691E+14;Красный Яр, сеть гастрономов;Торговые комплексы / Спецмагазины;Супермаркеты;Красноярский край;Красноярск;Красной Армии, 121;;8(391)2771390(доп.809);;info@krasyar.ru;http://krasyar.ru;92.810358575462;56.011289616761;;660100;00:00-24:00;;00:00-24:00;;00:00-24:00;;00:00-24:00;;00:00-24:00;;00:00-24:00;;00:00-24:00;;Наличный расчет, Visa, Mastercard;RUB;;;
9,85691E+14;Красный Яр, сеть гастрономов;Торговые комплексы / Спецмагазины;Супермаркеты;Красноярский край;Красноярск;Карла Маркса, 133;;8(391)2771390(доп.803);;info@krasyar.ru;http://krasyar.ru;92.863100709123;56.009713152484;;660017;00:00-24:00;;00:00-24:00;;00:00-24:00;;00:00-24:00;;00:00-24:00;;00:00-24:00;;00:00-24:00;;Наличный расчет, Visa, Mastercard;RUB;;;
9,85691E+14;Красный Яр, сеть гастрономов;Торговые комплексы / Спецмагазины;Супермаркеты;Красноярский край;Красноярск;Словцова, 6;;8(391)2771390(доп.806);;info@krasyar.ru;http://krasyar.ru;92.759178578046;56.026861647598;;660130;07:00-00:00;;07:00-00:00;;07:00-00:00;;07:00-00:00;;07:00-01:00;;07:00-01:00;;07:00-00:00;;Наличный расчет, Visa, Mastercard;RUB;;;
